Date,Original,EW,GMV,MSR
2012-01-13,1029.7139677859113,1059.4572092429414,1064.5039221708168,1083.8047137298877
2012-01-18,1039.7842717169872,1072.7802769507173,1069.4660565923257,1081.908771853533
2012-01-19,1050.473844771148,1082.6761944120071,1069.842367357003,1086.8738991097296
2012-01-20,1049.2757489813669,1074.3776784828128,1066.9067544328507,1111.0720547450765
2012-01-23,1057.4082255325259,1081.5652638961435,1069.5212489908565,1116.7289937478258
2012-01-24,1050.9447217862826,1076.9597051377136,1062.9417760895076,1103.5463131183956
2012-01-25,1060.3666862090747,1082.5972744275914,1066.17754969027,1124.9346800812289
2012-01-26,1061.42076327686,1087.6432246566742,1073.011758329469,1123.8251983108187
2012-01-27,1059.1709679661856,1083.119096866914,1065.304205917315,1117.2211190793168
2012-01-30,1055.2505016958958,1078.6479245419414,1059.6805422598832,1120.9327205055972
2012-01-31,1058.9227502467988,1081.900300111447,1060.6431772533554,1123.7777057352835
2012-02-01,1070.7709741047454,1095.5979877244329,1069.503839368115,1131.9224267564719
2012-02-02,1075.4675044550781,1097.9673054602658,1065.8289142514307,1130.3311974244264
2012-02-03,1093.81742842862,1118.669074768008,1086.9915553694389,1144.9324646132225
2012-02-06,1090.4006450586812,1114.8603031116768,1081.8624573583024,1142.3584486014697
2012-02-07,1089.3044767822728,1111.432847125772,1077.717331735676,1146.6330847885074
2012-02-08,1096.8707069097732,1113.1278477865142,1075.632000853221,1164.109184840795
2012-02-09,1103.390516584256,1119.3627142822545,1083.3547398709231,1175.885423566238
2012-02-10,1092.2660433098079,1107.0949864224037,1077.3725841942398,1168.5340157582716
2012-02-13,1098.5788282335423,1116.772246907588,1087.9699775990441,1173.99568628592
2012-02-14,1100.498614380293,1117.04302211017,1089.7666551976783,1179.1213591564024
2012-02-15,1096.2075437505237,1110.8350878294737,1083.3328389520464,1173.0006142235848
2012-02-16,1112.5972121852867,1122.1180134634103,1086.59553371286,1200.6111567601529
2012-02-17,1112.6623822991676,1125.242759949946,1089.3444908526235,1201.8937102015223
2012-02-22,1110.3140509535572,1123.923433003779,1086.0706878999617,1199.4091354944676
2012-02-23,1113.0289387214743,1125.7804569705863,1087.5463130630492,1201.4268598234917
