path,npv_eur,npv_eur_mean,npv_eur_p50,npv_eur_p10,npv_eur_p90
152,5270.496938736973,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
153,9930.81925395007,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
154,6821.392796380898,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
155,4875.238403983805,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
156,4076.701808165707,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
157,7798.5079358364455,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
158,12963.423199568058,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
159,6850.568952378901,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
160,4229.548301208545,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
161,12424.688101831081,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
162,4906.98362155207,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
163,14013.534721860637,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
164,4874.800374620588,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
165,9910.815660528247,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
166,8155.360662422321,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
167,7200.989253665612,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
168,5407.268674420426,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
169,12654.770948343119,7331.731693980765,6555.7400713384195,3575.2775946154143,12349.71733150433
